 ,X,Y
1,5.000,0.500
2,13.571,0.929
3,24.000,0.500
4,31.000,1.000
5,41.667,1.333
6,50.000,1.000
7,57.000,0.500
8,65.167,1.167
9,71.000,2.000
10,77.000,2.000
11,86.333,0.833
12,94.000,0.500
13,104.000,1.214
14,122.167,1.033
15,132.333,2.233
16,148.040,3.500
17,167.200,1.300
18,179.000,1.000
19,184.000,1.000
20,189.500,1.250
21,208.000,0.500
22,228.400,2.500
23,240.000,1.000
24,246.500,1.250
25,253.000,3.300
26,261.571,0.929
27,270.200,1.300
28,277.250,1.375
29,287.000,2.000
30,292.500,1.250
31,311.941,0.794
32,335.472,1.083
33,369.154,0.731
34,387.714,1.071
35,401.000,0.500
36,411.000,0.500
37,424.000,0.500
38,440.200,1.767
39,456.143,1.143
40,477.000,0.500
41,489.250,1.312
42,520.846,2.962
43,541.400,0.900
44,560.000,0.500
45,569.667,1.167
46,578.000,0.500
47,609.000,0.500
48,619.000,1.000
49,625.800,1.300
50,631.000,0.500
51,116.583,3.083
52,592.667,2.500
53,195.000,3.000
54,354.000,2.500
55,633.000,2.500
56,638.000,3.000
57,20.000,4.000
58,27.000,3.500
59,33.167,3.833
60,60.600,5.100
61,93.667,4.833
62,143.000,5.000
63,174.000,5.000
64,179.000,5.000
65,247.000,5.500
66,401.000,6.000
67,465.000,4.500
68,492.714,5.643
69,571.000,4.500
70,73.000,6.500
71,78.900,6.700
72,133.000,5.500
73,207.000,5.500
74,234.500,6.750
75,257.000,5.500
76,266.000,6.000
77,366.000,5.500
78,113.000,7.167
79,191.333,8.333
80,225.433,8.433
81,289.000,6.500
82,339.000,7.000
83,414.333,6.833
84,448.000,7.000
85,461.167,7.056
86,31.000,7.500
87,135.324,9.382
88,162.600,7.700
89,258.000,7.500
90,273.000,7.500
91,435.000,7.500
92,586.000,7.500
93,629.000,7.500
94,95.000,9.000
95,184.000,8.500
96,241.000,8.500
97,269.500,8.500
98,278.000,8.500
99,286.429,10.929
100,387.000,8.500
101,406.000,8.500
102,71.000,9.500
103,305.000,10.000
104,52.000,10.500
105,62.333,12.000
106,85.333,11.167
107,142.000,10.500
108,168.860,15.128
109,321.667,12.333
110,375.000,12.000
111,470.000,10.500
112,541.400,10.900
113,591.000,10.500
114,10.500,11.500
115,255.000,11.500
116,270.833,13.250
117,401.200,14.500
118,80.500,12.500
119,96.231,15.731
120,206.200,13.900
121,313.000,12.500
122,335.000,13.000
123,105.000,14.000
124,243.909,16.045
125,292.000,13.500
126,303.000,13.500
127,350.000,13.500
128,388.000,13.500
129,3.000,14.500
130,33.667,15.167
131,186.667,15.667
132,197.000,15.250
133,257.800,15.100
134,310.000,15.500
135,639.000,15.000
136,7.000,15.500
137,26.000,15.500
138,71.000,15.500
139,138.429,16.786
140,203.000,15.500
141,215.000,15.500
142,222.000,15.500
143,341.000,15.500
144,443.000,15.500
145,541.000,15.500
146,589.000,15.500
147,60.000,16.500
148,118.200,17.100
149,155.667,18.722
150,232.500,16.750
151,293.167,19.750
152,337.000,17.000
153,379.000,16.500
154,462.333,17.167
155,575.000,17.000
156,43.333,18.667
157,68.000,17.500
158,161.000,17.500
159,142.455,21.045
160,215.571,19.071
161,220.935,25.532
162,236.500,18.750
163,251.500,19.500
164,285.000,18.500
165,356.273,21.227
166,391.400,18.900
167,430.000,19.000
168,442.000,19.000
169,106.733,22.033
170,259.200,21.700
171,317.250,21.000
172,72.000,21.000
173,193.000,21.600
174,417.667,20.833
175,635.000,21.000
176,129.500,22.750
177,180.714,22.929
178,305.000,21.500
179,375.000,21.500
180,481.000,22.000
181,88.000,24.000
182,163.000,23.500
183,247.087,27.717
184,323.400,23.700
185,341.333,23.500
186,367.000,22.500
187,432.000,23.167
188,34.000,23.500
